,t0,m0,mw,x,y,z,area,dt,te
110314,2.41985E+12,1.30E+21,8.009838,2595684,6908053,-41673.45,9360910482,23.2578125,5.57124E+13
110479,2.42306E+12,1.69E+22,8.752074,2456062.667,6555177.667,-35910.53333,65952293509,77.83203125,5.56255E+14
110481,2.42307E+12,1.56E+22,8.729603,2684110.333,7196476.333,-39468.30667,57754843783,72.53466797,7.06647E+14
110779,2.43123E+12,3.12E+22,8.929354,2629217.333,7066661.333,-43710.54333,1.0854E+11,141.0976563,1.39E+15
110782,2.43123E+12,3.58E+21,8.302645,2469720,6570640,-32676.32333,19897812688,42.91113281,9.01716E+13
110811,2.43312E+12,5.04E+21,8.401456,1992136.333,5637185.333,-14535.78667,21044260403,36.39746094,1.91895E+14
110866,2.4348E+12,1.52E+22,8.720412,1814212.333,5422357.667,-16126.10333,50959923765,69.16210938,4.2692E+14
111024,2.4376E+12,6.22E+21,8.462421,2414364.333,6475741.667,-35883.30333,27852421466,56.1875,2.05296E+14
111137,2.43921E+12,3.26E+22,8.942516,2642618.333,7084740.667,-37985.9,1.19406E+11,157.1723633,1.23E+15
111229,2.44421E+12,1.52E+21,8.054455,2610765.667,6961692.333,-41761.51,11843426640,38.35351563,6.37903E+13
111303,2.44545E+12,1.38E+22,8.693987,2181858,6017726.667,-42047.63,49353232948,65.0234375,4.88507E+14
111305,2.44545E+12,4.04E+21,8.337472,2304926.667,6230262.333,-33731.45333,23042129829,34.71972656,1.09298E+14
111458,2.44745E+12,8.57E+21,8.55537,2547387,6773098.333,-42022.7,38993360839,71.42724609,2.37033E+14
111461,2.44747E+12,2.04E+22,8.806851,2606404,6849541,-25531.79667,73432343645,104.996582,9.73319E+14
111515,2.45026E+12,2.00E+21,8.133898,1740815,5424105.667,-25860.75667,10922410084,30.32177734,5.11138E+13
